what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1755197363007
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1755197363010
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1755197363011
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1755197363013
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1755197363014
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1755197363015
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1755197363017
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1755197363018
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1755197363018
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1755197363019
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1755197363021
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1755197363022
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1755197363022
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1755197363024
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1755197363025
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1755197363026
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1755197363027
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1755197363028
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1755197363029
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1755197363030
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1755197363033
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1755197363034
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1755197363034
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1755197363035
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1755197363037
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1755197363038
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1755197363038
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1755197363039
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1755197363039
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1755197363041
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1755197363042
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1755197363043
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1755197363045
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1755197363045
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1755197363047
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1755197363047
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1755197363049
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1755197363050
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1755197363051
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1755197363052
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1755197363053
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1755197363054
os,sysinfo,,,"win32",1755197363058
arch,sysinfo,,,"x86",1755197363058
ws,sysinfo,,,"win32",1755197363058
locale,sysinfo,,,"es_AR",1755197363058
processors,sysinfo,,,"2",1755197363058
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1755197363058
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1755197363058
java.specification.name,sysinfo,,,"Java Platform API Specification",1755197363058
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1755197363058
java.specification.version,sysinfo,,,"1.6",1755197363058
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1755197363058
java.version,sysinfo,,,"1.6.0_23",1755197363058
java.vm.info,sysinfo,,,"mixed mode",1755197363058
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1755197363058
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1755197363058
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1755197363058
java.vm.specification.version,sysinfo,,,"1.0",1755197363058
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1755197363058
java.vm.version,sysinfo,,,"19.0-b09",1755197363058
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1755197367306
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1755197367474
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1755197367476
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1755197367481
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1755197367606
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1755197369730
error,log,,,"Unable to validate connection settings.",1755197389149
error,log,,,"Unable to validate connection settings.",1755197389153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1755197389209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1755197390434
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1755197398906
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1755197401845
